Code Class,Name,Accession,Normal 1,Normal 2,Tumor 1,Tumor 2
Endogenous1,mmu-miR-93|0,MIMAT0000540,23,27,157,104
Endogenous1,mmu-miR-30a|0,MIMAT0000128,512,392,1867,794
Endogenous1,mmu-miR-298|0,MIMAT0000376,9,9,14,23
Endogenous1,mmu-miR-669h-5p|0,MIMAT0005841,16,19,15,20
Endogenous1,mmu-miR-380-3p|0,MIMAT0000745,10,19,25,12
Endogenous1,mmu-miR-344|0,MIMAT0000593,13,10,13,10
Endogenous1,mmu-miR-1193|0,MIMAT0005851,13,7,20,8
Endogenous1,mmu-miR-2134|0,MIMAT0011210,28,23,33,18
Endogenous1,mmu-miR-466a-5p+mmu-miR-466e-5p|0,MIMAT0004759,15,12,8,17
Endogenous1,mmu-miR-496|0,MIMAT0003738,26,14,36,19
Endogenous1,mmu-miR-720|0,MIMAT0003484,12679,10326,21840,22659
Endogenous1,mmu-miR-410|0,MIMAT0001091,10,3,26,16
Endogenous1,mmu-miR-669f|0,MIMAT0005839,9,4,61,28
Endogenous1,mmu-miR-1905|0,MIMAT0007866,5,4,7,5
Endogenous1,mmu-miR-1953|0,MIMAT0009424,11,16,31,21
Endogenous1,mmu-miR-129-5p|0,MIMAT0000209,7,15,16,7
Endogenous1,mmu-miR-574-3p|0,MIMAT0004894,18,43,139,43
Endogenous1,mmu-miR-323-3p|0,MIMAT0000551,13,12,20,8
Endogenous1,mmu-miR-135a|0,MIMAT0000147,14,17,29,16
Endogenous1,mmu-miR-106a+mmu-miR-17|0,MIMAT0000385,96,91,442,190
Endogenous1,mmu-miR-1964|0,MIMAT0009437,9,16,15,7
Endogenous1,mmu-let-7c|0,MIMAT0000523,1678,1247,11674,4912
Endogenous1,mmu-miR-467h+mmu-miR-669d+mmu-miR-669l|0,MIMAT0005855,16,13,29,14
Endogenous1,mmu-miR-146a|0,MIMAT0000158,93,95,1029,281
Endogenous1,mmu-miR-467a|0,MIMAT0003409,10,13,22,12
Endogenous1,mmu-miR-761|0,MIMAT0003893,10,9,13,6
Endogenous1,mmu-miR-323-5p|0,MIMAT0004638,9,6,14,7
Endogenous1,mmu-miR-1306|0,MIMAT0009411,18,25,41,20
Endogenous1,mmu-miR-338-3p|0,MIMAT0000582,31,32,92,39
Endogenous1,mmu-miR-1965|0,MIMAT0009438,5,8,6,1
Endogenous1,mmu-miR-206|0,MIMAT0000239,22,6,18,16
Endogenous1,mmu-miR-125a-5p|0,MIMAT0000135,107,93,1798,912
Endogenous1,mmu-miR-1895|0,MIMAT0007867,8,8,11,6
Endogenous1,mmu-miR-669e|0,MIMAT0005853,11,8,11,7
Endogenous1,mmu-miR-668|0,MIMAT0003732,16,17,20,7
Endogenous1,mmu-miR-1901|0,MIMAT0007880,10,8,12,2
Endogenous1,mmu-miR-382|0,MIMAT0000747,20,7,23,10
Endogenous1,mmu-miR-425|0,MIMAT0004750,14,19,110,52
Endogenous1,mmu-miR-708|0,MIMAT0004828,16,7,19,13
