Code Class,Name,Accession,Normal 1,Normal 2,Tumor 1,Tumor 2
Endogenous1,mmu-miR-200c|0,MIMAT0000657,17,9,33,9
Endogenous1,mmu-miR-666-3p|0,MIMAT0004823,11,12,12,8
Endogenous1,mmu-miR-759|0,MIMAT0003897,28,10,24,14
Endogenous1,mmu-miR-505|0,MIMAT0003513,9,8,10,2
Endogenous1,mmu-miR-467g|0,MIMAT0005854,12,13,21,8
Endogenous1,mmu-let-7e|0,MIMAT0000524,113,108,1021,436
Endogenous1,mmu-miR-669a|0,MIMAT0003477,23,13,2,15
Endogenous1,mmu-miR-26b|0,MIMAT0000534,410,288,1320,551
Endogenous1,mmu-miR-1195|0,MIMAT0005856,14,3,9,8
Endogenous1,mmu-miR-139-5p|0,MIMAT0000656,57,35,84,40
Endogenous1,mmu-miR-335-3p|0,MIMAT0004704,13,12,24,4
Endogenous1,mmu-miR-1941-5p|0,MIMAT0009405,8,9,16,4
Endogenous1,mmu-miR-1960|0,MIMAT0009433,14,4,13,6
Endogenous1,mmu-miR-455|0,MIMAT0003742,12,12,26,8
Endogenous1,mmu-miR-412|0,MIMAT0001094,6,8,13,4
Endogenous1,mmu-miR-709|0,MIMAT0003499,14,19,29,14
Endogenous1,mmu-miR-466c-5p|0,MIMAT0004877,17,14,24,12
Endogenous1,mmu-miR-365|0,MIMAT0000711,190,149,434,197
Endogenous1,mmu-miR-153|0,MIMAT0000163,12,15,14,4
Endogenous2,mcmv-miR-m108-2-3p|0,MIMAT0005561,5,9,2,3
Endogenous2,mcmv-miR-M95-1-3p|0,MIMAT0005554,0,5,6,5
Endogenous2,mcmv-miR-M23-2|0,MIMAT0005545,13,9,19,10
Endogenous2,mcmv-miR-M44-1|0,MIMAT0005546,8,7,12,4
Endogenous2,mghv-miR-M1-9|0,MIMAT0001573,5,7,18,8
Endogenous2,mcmv-miR-M87-1|0,MIMAT0005550,26,30,44,20
Endogenous2,mcmv-miR-m01-4|0,MIMAT0005538,9,9,7,9
Endogenous2,mcmv-miR-M95-1-5p|0,MIMAT0005553,3,4,9,8
Endogenous2,mghv-miR-M1-6|0,MIMAT0001569,6,4,14,6
Endogenous2,mcmv-miR-m108-2-5p.2|0,MIMAT0005559,9,11,11,3
Endogenous2,mcmv-miR-m22-1|0,MIMAT0005541,2,2,12,5
Endogenous2,mcmv-miR-m59-1|0,MIMAT0005548,5,6,16,14
Endogenous2,mghv-miR-M1-2|0,MIMAT0001565,16,11,13,6
Endogenous2,mcmv-miR-m107-1-5p|0,MIMAT0005555,24,17,14,4
Endogenous2,mcmv-miR-M23-1-5p|0,MIMAT0005542,11,6,9,3
Endogenous2,mcmv-miR-m108-2-5p.1|0,MIMAT0005560,5,11,15,4
Endogenous2,mghv-miR-M1-4|0,MIMAT0001567,14,11,15,3
Endogenous2,mcmv-miR-m01-1|0,MIMAT0005533,6,11,20,7
Endogenous2,mghv-miR-M1-7-5p|0,MIMAT0001570,30,37,159,49
Endogenous2,mcmv-miR-m59-2|0,MIMAT0005549,7,8,10,7
Endogenous2,mghv-miR-M1-8|0,MIMAT0001572,9,8,4,3
Endogenous2,mcmv-miR-m88-1|0,MIMAT0005552,15,10,16,11
Endogenous2,mcmv-miR-m107-1-3p|0,MIMAT0005556,18,3,7,3
Endogenous2,mcmv-miR-M55-1|0,MIMAT0005547,14,8,19,8
Endogenous2,mghv-miR-M1-5|0,MIMAT0001568,15,6,18,4
Endogenous2,mcmv-miR-M23-1-3p|0,MIMAT0005543,16,15,20,5
Endogenous2,mcmv-miR-m108-1|0,MIMAT0005558,10,8,17,6
Endogenous2,mghv-miR-M1-7-3p|0,MIMAT0001571,18,18,23,11
Endogenous2,mcmv-miR-m01-2|0,MIMAT0005534,12,15,28,7
Endogenous2,mcmv-miR-m01-3|0,MIMAT0005536,19,12,19,3
Endogenous2,mghv-miR-M1-1|0,MIMAT0001564,9,16,17,8
Endogenous2,mcmv-miR-m21-1|0,MIMAT0005540,19,13,19,10
Endogenous2,mghv-miR-M1-3|0,MIMAT0001566,13,7,15,4
SpikeIn,ath-miR159a,MIMAT0000177,5,7,11,3
SpikeIn,osa-miR414,MIMAT0001330,5,5,9,5
SpikeIn,cel-miR-248,MIMAT0000304,4,5,6,2
